연도,구,거주인구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명)_x,인구 10만명당 사망자수 (명)_x,자동차 1만대당 발생건수 (건)_x,발생건수,부상자수,사망자수
2007,금천구,269403.0,55.0,0.0,26.0,0.0,20.0,0.0,18.0,0.0,114.0,5.0,38.0,57.0,1.0,32.0,0.0,35.0,,,,,,,,,78.0,,,,,,,222.0,623.0,19.0,243.0,1051.0,24.0,493.3,5.3,106.6,864.0,1304.0,14.0
2008,금천구,265883.0,79.0,2.0,17.0,0.0,17.0,0.0,24.0,3.0,133.0,5.0,50.0,70.0,2.0,57.0,0.0,59.0,,,,,,,,,152.0,,,,,,,264.0,673.0,24.0,287.0,1103.0,29.0,529.7,5.3,118.2,961.0,1405.0,14.0
2009,금천구,264999.0,98.0,6.0,24.0,0.0,19.0,0.0,26.0,1.0,121.0,7.0,40.0,69.0,0.0,72.0,3.0,74.0,,,,,,,,,134.0,,,,,,,286.0,758.0,37.0,314.0,1315.0,41.0,626.7,8.0,132.1,1081.0,1649.0,21.0
2010,금천구,262216.0,115.0,1.0,28.0,0.0,9.0,0.0,16.0,2.0,177.0,3.0,47.0,73.0,0.0,69.0,0.0,72.0,,,,,,,,,106.0,,,,,,,327.0,761.0,35.0,352.0,1322.0,40.0,643.4,4.5,135.5,1123.0,1702.0,12.0
2011,금천구,264619.0,148.0,2.0,21.0,0.0,13.0,0.0,8.0,0.0,156.0,5.0,37.0,50.0,0.0,93.0,0.0,97.0,,,,,,,,,146.0,,,,,,,339.0,744.0,42.0,362.0,1246.0,51.0,624.0,3.8,133.5,1125.0,1649.0,10.0
2012,금천구,262747.0,136.0,5.0,12.0,0.0,4.0,1.0,6.0,0.0,115.0,7.0,25.0,40.0,2.0,106.0,2.0,116.0,,,,,,,,,154.0,,,,,,,272.0,703.0,42.0,293.0,1219.0,49.0,590.6,8.1,116.8,1017.0,1540.0,21.0
2013,금천구,259322.0,122.0,1.0,11.0,0.0,9.0,0.0,8.0,1.0,110.0,6.0,31.0,41.0,0.0,87.0,1.0,91.0,11.0,777.0,92.0,47.0,15.0,1167.0,143.0,77.0,130.0,,,,,,,253.0,660.0,26.0,268.0,1131.0,30.0,549.5,3.9,103.7,939.0,1419.0,10.0
2014,금천구,258180.0,155.0,3.0,17.0,0.0,11.0,0.0,6.0,0.0,121.0,3.0,34.0,48.0,0.0,99.0,0.0,108.0,11.0,888.0,68.0,51.0,17.0,1343.0,98.0,78.0,114.0,,,,,,,291.0,700.0,38.0,311.0,1195.0,42.0,594.9,5.0,111.0,1029.0,1535.0,13.0
2015,금천구,257670.0,146.0,2.0,9.0,0.0,7.0,0.0,3.0,0.0,113.0,6.0,24.0,40.0,0.0,80.0,0.0,88.0,3.0,796.0,68.0,44.0,3.0,1214.0,97.0,67.0,117.0,,,,,,,266.0,611.0,37.0,300.0,1042.0,42.0,536.4,3.9,96.8,914.0,1374.0,10.0
2016,금천구,254564.0,82.0,3.0,14.0,0.0,9.0,0.0,17.0,0.0,134.0,6.0,19.0,28.0,0.0,56.0,1.0,59.0,5.0,699.0,45.0,26.0,7.0,1009.0,64.0,34.0,163.0,,,,,,,251.0,525.0,23.0,269.0,852.0,27.0,444.9,5.9,82.8,799.0,1133.0,15.0
2017,금천구,254232.0,104.0,2.0,3.0,0.0,10.0,1.0,36.0,0.0,112.0,1.0,25.0,41.0,0.0,55.0,0.0,56.0,5.0,720.0,35.0,25.0,12.0,1065.0,64.0,31.0,166.0,59.0,514.0,17.0,92.0,826.0,23.0,250.0,550.0,24.0,270.0,939.0,25.0,484.4,2.4,84.0,824.0,1228.0,6.0
2018,금천구,253119.0,137.0,0.0,5.0,0.0,10.0,0.0,19.0,2.0,104.0,3.0,36.0,46.0,0.0,47.0,0.0,50.0,7.0,788.0,86.0,31.0,9.0,1115.0,124.0,47.0,161.0,54.0,616.0,22.0,127.0,864.0,32.0,266.0,629.0,37.0,291.0,999.0,42.0,522.0,2.4,94.5,932.0,1326.0,6.0
2019,금천구,253248.0,136.0,1.0,7.0,1.0,20.0,0.0,12.0,0.0,95.0,3.0,30.0,40.0,0.0,73.0,1.0,84.0,1.0,821.0,54.0,43.0,1.0,1229.0,70.0,61.0,134.0,73.0,521.0,28.0,122.0,820.0,36.0,259.0,626.0,35.0,275.0,1048.0,39.0,537.3,3.6,92.8,920.0,1353.0,9.0
2020,금천구,249850.0,119.0,1.0,6.0,0.0,11.0,0.0,6.0,0.0,136.0,2.0,30.0,40.0,0.0,63.0,1.0,72.0,0.0,698.0,58.0,50.0,0.0,942.0,77.0,65.0,114.0,61.0,471.0,30.0,83.0,648.0,50.0,197.0,563.0,50.0,221.0,811.0,58.0,437.4,2.4,80.8,810.0,1084.0,6.0
2021,금천구,244756.0,117.0,3.0,5.0,0.0,9.0,1.0,2.0,1.0,51.0,3.0,17.0,24.0,0.0,50.0,1.0,53.0,7.0,725.0,61.0,33.0,10.0,1025.0,101.0,46.0,109.0,72.0,502.0,21.0,96.0,737.0,26.0,173.0,616.0,38.0,182.0,960.0,41.0,476.5,6.5,81.5,827.0,1167.0,16.0
2022,금천구,244205.0,148.0,4.0,2.0,0.0,6.0,1.0,1.0,0.0,49.0,0.0,26.0,32.0,0.0,52.0,0.0,57.0,3.0,763.0,38.0,34.0,5.0,1054.0,52.0,43.0,194.0,78.0,507.0,22.0,92.0,740.0,23.0,208.0,603.0,33.0,213.0,911.0,37.0,474.4,3.7,81.2,844.0,1152.0,9.0
2023,금천구,242053.0,115.0,0.0,8.0,0.0,41.0,0.0,9.0,0.0,62.0,3.0,18.0,25.0,0.0,62.0,1.0,73.0,0.0,784.0,58.0,25.0,0.0,1116.0,81.0,28.0,178.0,92.0,507.0,25.0,139.0,746.0,32.0,225.0,599.0,52.0,244.0,941.0,54.0,511.0,2.9,82.6,876.0,1232.0,7.0
2024,금천구,239870.0,128.0,2.0,3.0,0.0,17.0,0.0,7.0,0.0,69.0,1.0,15.0,20.0,0.0,61.0,0.0,67.0,1.0,729.0,47.0,26.0,3.0,994.0,69.0,29.0,169.0,,,,,,,213.0,605.0,43.0,228.0,912.0,45.0,486.0,4.0,80.0,861.0,1176.0,9.0
2025,금천구,238431.0,132.0,2.0,1.0,0.0,18.0,0.0,7.0,0.0,66.0,1.0,13.0,17.0,0.0,62.0,0.0,69.0,0.0,725.0,44.0,25.0,1.0,979.0,64.0,27.0,172.0,,,,,,,211.0,599.0,44.0,226.0,895.0,46.0,482.0,3.0,77.0,855.0,1159.0,9.0
2026,금천구,238431.0,144.0,1.0,0.0,0.0,16.0,0.0,6.0,0.0,69.0,1.0,11.0,13.0,0.0,68.0,0.0,77.0,0.0,728.0,40.0,27.0,0.0,978.0,53.0,27.0,174.0,,,,,,,217.0,584.0,46.0,233.0,869.0,48.0,477.0,3.0,74.0,847.0,1144.0,7.0
2005,노원구,657860.0,118.0,1.0,8.0,0.0,23.0,2.0,72.0,0.0,192.0,5.0,61.0,94.0,1.0,124.0,1.0,124.0,,,,,,,,,,,,,,,,388.0,1303.0,31.0,420.0,2184.0,54.0,422.2,3.2,105.3,1722.0,2638.0,20.0
2006,노원구,649566.0,88.0,0.0,19.0,0.0,26.0,2.0,35.0,1.0,196.0,1.0,51.0,77.0,0.0,126.0,1.0,126.0,,,,,,,,,184.0,,,,,,,341.0,1206.0,36.0,367.0,2051.0,45.0,393.6,2.6,96.3,1583.0,2447.0,16.0
2007,노원구,641272.0,42.0,1.0,29.0,0.0,35.0,2.0,65.0,2.0,236.0,5.0,56.0,75.0,3.0,140.0,1.0,146.0,,,,,,,,,205.0,,,,,,,390.0,1286.0,31.0,416.0,1955.0,35.0,383.1,4.2,102.6,1707.0,2380.0,26.0
2008,노원구,621066.0,113.0,1.0,12.0,0.0,30.0,0.0,64.0,2.0,252.0,7.0,73.0,112.0,1.0,136.0,2.0,142.0,,,,,,,,,269.0,,,,,,,455.0,1244.0,43.0,470.0,1980.0,48.0,398.8,3.5,104.0,1742.0,2476.0,22.0
2009,노원구,617906.0,127.0,1.0,25.0,0.0,34.0,0.0,67.0,5.0,240.0,5.0,68.0,116.0,0.0,200.0,1.0,204.0,,,,,,,,,323.0,,,,,,,472.0,1311.0,45.0,495.0,2068.0,58.0,423.0,3.4,108.4,1829.0,2602.0,21.0
2010,노원구,613710.0,123.0,3.0,14.0,1.0,37.0,0.0,56.0,1.0,238.0,6.0,65.0,99.0,2.0,154.0,1.0,160.0,,,,,,,,,219.0,,,,,,,443.0,1197.0,43.0,473.0,1931.0,55.0,395.5,4.1,99.2,1683.0,2434.0,25.0
2011,노원구,610225.0,37.0,0.0,32.0,0.0,36.0,0.0,78.0,0.0,280.0,8.0,41.0,85.0,1.0,141.0,1.0,142.0,,,,,,,,,192.0,,,,,,,436.0,1061.0,32.0,468.0,1743.0,34.0,366.9,2.3,90.5,1529.0,2231.0,14.0
2012,노원구,603977.0,86.0,1.0,33.0,0.0,26.0,0.0,39.0,1.0,252.0,8.0,43.0,66.0,0.0,166.0,2.0,173.0,,,,,,,,,228.0,,,,,,,420.0,1164.0,39.0,449.0,1846.0,48.0,387.8,2.2,96.0,1623.0,2330.0,13.0
2013,노원구,596954.0,112.0,1.0,34.0,1.0,14.0,1.0,31.0,1.0,216.0,1.0,29.0,41.0,0.0,169.0,0.0,178.0,18.0,1271.0,126.0,106.0,29.0,1822.0,178.0,158.0,253.0,,,,,,,397.0,1087.0,38.0,410.0,1729.0,49.0,366.1,2.2,90.5,1522.0,2175.0,13.0
2014,노원구,589074.0,198.0,6.0,8.0,0.0,21.0,0.0,30.0,1.0,184.0,3.0,39.0,52.0,0.0,213.0,1.0,220.0,10.0,1364.0,90.0,47.0,15.0,1856.0,113.0,66.0,241.0,,,,,,,412.0,1062.0,42.0,440.0,1566.0,49.0,347.7,2.9,90.1,1516.0,2038.0,17.0
2015,노원구,581684.0,111.0,0.0,27.0,1.0,27.0,0.0,43.0,0.0,199.0,4.0,43.0,71.0,0.0,225.0,5.0,238.0,8.0,1308.0,99.0,43.0,15.0,1905.0,140.0,52.0,221.0,,,,,,,399.0,1008.0,52.0,419.0,1622.0,72.0,362.8,2.6,85.9,1459.0,2098.0,15.0
2016,노원구,575074.0,84.0,2.0,22.0,0.0,24.0,0.0,32.0,0.0,244.0,4.0,32.0,60.0,0.0,188.0,2.0,194.0,7.0,1378.0,103.0,47.0,9.0,1978.0,166.0,76.0,256.0,,,,,,,387.0,1097.0,51.0,418.0,1751.0,60.0,388.0,2.3,89.8,1535.0,2216.0,13.0
2017,노원구,564037.0,93.0,1.0,18.0,0.0,19.0,1.0,46.0,2.0,217.0,1.0,19.0,27.0,0.0,148.0,0.0,158.0,13.0,1348.0,99.0,39.0,23.0,1839.0,136.0,68.0,257.0,87.0,1014.0,21.0,119.0,1442.0,35.0,376.0,1075.0,48.0,404.0,1598.0,64.0,368.2,2.0,88.3,1499.0,2055.0,11.0
2018,노원구,552052.0,115.0,2.0,19.0,0.0,29.0,1.0,54.0,2.0,175.0,5.0,27.0,48.0,1.0,161.0,1.0,166.0,10.0,1324.0,125.0,94.0,11.0,1872.0,196.0,138.0,211.0,75.0,1106.0,22.0,102.0,1644.0,30.0,383.0,1138.0,48.0,411.0,1774.0,56.0,406.3,2.6,93.1,1569.0,2227.0,14.0
2019,노원구,541305.0,129.0,2.0,19.0,0.0,33.0,0.0,60.0,1.0,189.0,3.0,49.0,62.0,0.0,210.0,0.0,220.0,3.0,1518.0,111.0,70.0,6.0,2079.0,134.0,90.0,188.0,86.0,1060.0,43.0,113.0,1510.0,58.0,415.0,1254.0,34.0,443.0,1825.0,42.0,428.4,1.5,102.0,1703.0,2302.0,8.0
2020,노원구,531275.0,83.0,0.0,9.0,0.0,35.0,0.0,47.0,1.0,105.0,3.0,49.0,62.0,0.0,216.0,1.0,229.0,5.0,1273.0,105.0,77.0,7.0,1759.0,147.0,106.0,156.0,47.0,898.0,35.0,60.0,1311.0,46.0,286.0,1142.0,34.0,301.0,1678.0,42.0,382.5,0.9,87.1,1462.0,2016.0,5.0
2021,노원구,518553.0,89.0,0.0,9.0,0.0,23.0,0.0,36.0,1.0,131.0,1.0,29.0,40.0,0.0,203.0,0.0,228.0,6.0,1255.0,90.0,50.0,7.0,1743.0,125.0,57.0,158.0,66.0,863.0,31.0,103.0,1234.0,35.0,280.0,1078.0,55.0,300.0,1588.0,60.0,376.7,1.6,84.4,1413.0,1940.0,8.0
2022,노원구,511076.0,123.0,0.0,9.0,0.0,28.0,0.0,34.0,1.0,119.0,1.0,32.0,49.0,0.0,156.0,0.0,162.0,10.0,1240.0,69.0,56.0,12.0,1730.0,95.0,71.0,154.0,67.0,855.0,28.0,86.0,1259.0,35.0,310.0,1030.0,44.0,326.0,1538.0,55.0,376.6,1.2,82.5,1384.0,1913.0,6.0
2023,노원구,504744.0,89.0,0.0,15.0,0.0,40.0,0.0,34.0,1.0,98.0,4.0,11.0,18.0,0.0,155.0,2.0,163.0,5.0,1247.0,82.0,27.0,6.0,1723.0,104.0,37.0,180.0,81.0,881.0,40.0,109.0,1228.0,61.0,269.0,1065.0,32.0,283.0,1555.0,40.0,371.6,1.8,81.5,1366.0,1869.0,9.0
2024,노원구,499170.0,108.0,0.0,13.0,0.0,29.0,0.0,35.0,1.0,128.0,2.0,22.0,31.0,0.0,197.0,0.0,211.0,1.0,1335.0,81.0,16.0,0.0,1850.0,119.0,26.0,174.0,,,,,,,312.0,1045.0,44.0,331.0,1505.0,53.0,376.0,1.0,82.0,1402.0,1884.0,5.0
2025,노원구,495111.0,109.0,1.0,16.0,0.0,27.0,0.0,30.0,0.0,132.0,1.0,14.0,20.0,0.0,205.0,1.0,218.0,0.0,1381.0,77.0,0.0,0.0,1923.0,122.0,0.0,175.0,,,,,,,311.0,1004.0,45.0,332.0,1439.0,54.0,369.0,1.0,80.0,1362.0,1821.0,4.0
2026,노원구,495111.0,109.0,1.0,22.0,0.0,22.0,0.0,21.0,0.0,146.0,1.0,1.0,1.0,0.0,217.0,1.0,230.0,0.0,1466.0,72.0,0.0,0.0,2058.0,131.0,0.0,180.0,,,,,,,316.0,936.0,47.0,340.0,1337.0,58.0,354.0,0.0,75.0,1299.0,1733.0,2.0
2005,도봉구,395967.0,116.0,1.0,8.0,0.0,18.0,0.0,27.0,0.0,121.0,2.0,40.0,69.0,0.0,61.0,2.0,64.0,,,,,,,,,,,,,,,,267.0,652.0,9.0,281.0,1123.0,13.0,367.5,2.1,87.7,928.0,1409.0,8.0
2006,도봉구,391510.0,26.0,0.0,14.0,0.0,42.0,0.0,38.0,3.0,114.0,3.0,33.0,45.0,0.0,68.0,1.0,68.0,,,,,,,,,127.0,,,,,,,218.0,620.0,18.0,242.0,1116.0,23.0,361.3,2.4,80.9,856.0,1372.0,9.0
2007,도봉구,387053.0,43.0,1.0,30.0,0.0,22.0,1.0,19.0,0.0,151.0,0.0,29.0,45.0,0.0,59.0,1.0,59.0,,,,,,,,,136.0,,,,,,,239.0,540.0,17.0,265.0,918.0,19.0,314.6,2.9,74.5,796.0,1191.0,11.0
2008,도봉구,377690.0,43.0,1.0,25.0,1.0,26.0,0.0,50.0,1.0,184.0,10.0,33.0,55.0,2.0,103.0,0.0,107.0,,,,,,,,,236.0,,,,,,,323.0,688.0,25.0,345.0,1110.0,29.0,389.4,4.5,96.6,1036.0,1467.0,17.0
2009,도봉구,374342.0,99.0,1.0,13.0,1.0,26.0,3.0,21.0,1.0,142.0,4.0,35.0,55.0,1.0,119.0,1.0,125.0,,,,,,,,,226.0,,,,,,,281.0,685.0,22.0,309.0,1089.0,24.0,377.3,4.6,91.5,988.0,1405.0,17.0
2010,도봉구,369781.0,108.0,2.0,16.0,0.0,20.0,2.0,47.0,0.0,114.0,1.0,33.0,67.0,1.0,104.0,2.0,105.0,,,,,,,,,171.0,,,,,,,289.0,665.0,21.0,305.0,1043.0,25.0,367.4,3.0,90.7,975.0,1362.0,11.0
2011,도봉구,369162.0,101.0,1.0,22.0,0.0,22.0,0.0,25.0,1.0,132.0,5.0,30.0,44.0,0.0,102.0,1.0,107.0,,,,,,,,,126.0,,,,,,,293.0,614.0,26.0,307.0,960.0,27.0,347.6,4.1,86.2,933.0,1279.0,15.0
2012,도봉구,365638.0,107.0,3.0,29.0,0.0,16.0,0.0,25.0,3.0,150.0,4.0,29.0,42.0,0.0,130.0,2.0,129.0,,,,,,,,,148.0,,,,,,,324.0,634.0,25.0,337.0,944.0,29.0,355.1,4.4,90.6,983.0,1294.0,16.0
2013,도봉구,362265.0,112.0,2.0,10.0,0.0,24.0,0.0,19.0,0.0,131.0,3.0,23.0,37.0,0.0,123.0,2.0,130.0,9.0,736.0,60.0,70.0,13.0,1004.0,75.0,95.0,201.0,,,,,,,290.0,619.0,25.0,305.0,932.0,30.0,349.1,2.2,85.9,934.0,1259.0,8.0
2014,도봉구,357832.0,127.0,5.0,16.0,0.0,17.0,0.0,15.0,0.0,131.0,6.0,13.0,16.0,1.0,140.0,2.0,143.0,6.0,765.0,55.0,39.0,12.0,1009.0,80.0,50.0,184.0,,,,,,,312.0,582.0,25.0,326.0,864.0,29.0,338.8,3.9,83.9,919.0,1205.0,14.0
2015,도봉구,354558.0,59.0,1.0,33.0,0.0,21.0,0.0,20.0,1.0,139.0,4.0,23.0,44.0,0.0,126.0,0.0,135.0,3.0,800.0,82.0,29.0,8.0,1087.0,120.0,48.0,180.0,,,,,,,270.0,602.0,42.0,280.0,925.0,58.0,355.3,2.3,82.6,914.0,1255.0,8.0
2016,도봉구,351552.0,113.0,2.0,19.0,0.0,12.0,0.0,20.0,3.0,141.0,4.0,23.0,40.0,0.0,143.0,2.0,150.0,2.0,832.0,75.0,26.0,2.0,1138.0,118.0,43.0,206.0,,,,,,,298.0,621.0,30.0,315.0,968.0,34.0,372.9,3.1,84.9,949.0,1306.0,11.0
2017,도봉구,347539.0,93.0,1.0,18.0,0.0,15.0,0.0,22.0,1.0,164.0,2.0,23.0,37.0,0.0,137.0,1.0,140.0,4.0,807.0,61.0,70.0,5.0,1061.0,80.0,99.0,184.0,55.0,590.0,21.0,72.0,801.0,28.0,309.0,593.0,42.0,321.0,884.0,43.0,357.9,2.6,84.3,944.0,1239.0,9.0
2018,도봉구,343444.0,107.0,3.0,14.0,0.0,9.0,0.0,24.0,0.0,132.0,2.0,14.0,22.0,0.0,102.0,1.0,103.0,4.0,709.0,66.0,45.0,7.0,911.0,86.0,63.0,220.0,64.0,522.0,13.0,78.0,715.0,21.0,282.0,504.0,38.0,296.0,730.0,41.0,310.6,1.8,73.5,824.0,1061.0,6.0
2019,도봉구,338078.0,105.0,2.0,13.0,0.0,19.0,0.0,19.0,0.0,127.0,0.0,12.0,15.0,0.0,118.0,0.0,138.0,1.0,743.0,55.0,53.0,1.0,1011.0,78.0,77.0,156.0,55.0,487.0,18.0,83.0,687.0,23.0,263.0,554.0,35.0,285.0,844.0,38.0,346.5,1.2,76.6,852.0,1163.0,4.0
2020,도봉구,330475.0,78.0,1.0,7.0,0.0,13.0,0.0,19.0,1.0,75.0,2.0,12.0,15.0,0.0,96.0,1.0,103.0,2.0,618.0,66.0,54.0,5.0,822.0,90.0,79.0,141.0,47.0,414.0,9.0,94.0,542.0,17.0,224.0,490.0,27.0,234.0,733.0,30.0,302.4,2.1,66.9,741.0,990.0,7.0
2021,도봉구,321563.0,60.0,1.0,5.0,0.0,14.0,0.0,14.0,0.0,80.0,0.0,12.0,27.0,0.0,91.0,2.0,101.0,3.0,497.0,34.0,34.0,3.0,641.0,47.0,51.0,128.0,38.0,328.0,11.0,46.0,444.0,14.0,167.0,395.0,29.0,182.0,556.0,33.0,240.5,0.9,54.1,591.0,768.0,3.0
2022,도봉구,315972.0,60.0,1.0,13.0,0.0,13.0,0.0,9.0,0.0,67.0,1.0,7.0,8.0,0.0,62.0,0.0,65.0,1.0,459.0,38.0,19.0,1.0,619.0,47.0,24.0,142.0,35.0,294.0,12.0,40.0,414.0,16.0,159.0,343.0,20.0,178.0,508.0,21.0,224.5,0.6,47.9,522.0,705.0,2.0
2023,도봉구,310967.0,58.0,1.0,6.0,0.0,5.0,0.0,7.0,1.0,57.0,3.0,9.0,9.0,0.0,73.0,1.0,77.0,1.0,467.0,43.0,17.0,2.0,608.0,53.0,27.0,171.0,48.0,310.0,12.0,51.0,434.0,16.0,134.0,363.0,33.0,141.0,516.0,35.0,221.3,2.3,48.9,530.0,685.0,7.0
2024,도봉구,307470.0,67.0,1.0,7.0,0.0,8.0,0.0,11.0,0.0,68.0,1.0,6.0,10.0,0.0,90.0,0.0,97.0,0.0,443.0,38.0,24.0,0.0,576.0,48.0,36.0,158.0,,,,,,,169.0,378.0,31.0,182.0,513.0,33.0,236.0,1.0,52.0,579.0,724.0,4.0
2025,도봉구,305391.0,76.0,1.0,8.0,0.0,7.0,0.0,9.0,0.0,74.0,1.0,4.0,6.0,0.0,99.0,0.0,108.0,0.0,482.0,43.0,28.0,0.0,625.0,56.0,44.0,159.0,,,,,,,183.0,383.0,34.0,195.0,509.0,37.0,243.0,1.0,53.0,601.0,737.0,4.0
2026,도봉구,305391.0,93.0,2.0,10.0,0.0,5.0,0.0,6.0,0.0,89.0,1.0,2.0,2.0,0.0,118.0,0.0,128.0,0.0,573.0,53.0,38.0,0.0,739.0,72.0,60.0,163.0,,,,,,,214.0,405.0,40.0,224.0,530.0,43.0,264.0,1.0,57.0,660.0,795.0,3.0
2005,동대문구,388892.0,121.0,3.0,17.0,0.0,22.0,2.0,32.0,2.0,226.0,7.0,58.0,75.0,0.0,97.0,3.0,98.0,,,,,,,,,,,,,,,,415.0,1254.0,31.0,429.0,2042.0,39.0,644.4,5.4,155.4,1700.0,2489.0,21.0
2006,동대문구,387090.0,137.0,3.0,19.0,0.0,19.0,1.0,35.0,2.0,241.0,6.0,70.0,105.0,0.0,108.0,3.0,108.0,,,,,,,,,196.0,,,,,,,427.0,1282.0,39.0,453.0,1940.0,47.0,626.1,6.5,158.2,1748.0,2415.0,25.0
2007,동대문구,385288.0,156.0,2.0,11.0,0.0,32.0,1.0,19.0,0.0,243.0,8.0,72.0,122.0,0.0,112.0,3.0,120.0,,,,,,,,,339.0,,,,,,,447.0,1266.0,44.0,466.0,1944.0,53.0,631.4,7.0,157.9,1757.0,2436.0,27.0
2008,동대문구,384516.0,123.0,6.0,9.0,1.0,25.0,0.0,30.0,2.0,251.0,16.0,52.0,83.0,0.0,139.0,3.0,146.0,,,,,,,,,282.0,,,,,,,435.0,1204.0,39.0,458.0,1915.0,45.0,622.8,10.7,150.5,1678.0,2377.0,41.0
2009,동대문구,378336.0,155.0,5.0,19.0,1.0,42.0,0.0,42.0,2.0,264.0,12.0,62.0,95.0,0.0,218.0,2.0,223.0,,,,,,,,,234.0,,,,,,,514.0,1415.0,54.0,548.0,2028.0,66.0,698.7,7.2,177.6,1983.0,2615.0,27.0
2010,동대문구,374993.0,200.0,4.0,15.0,0.0,32.0,0.0,41.0,0.0,207.0,13.0,43.0,76.0,1.0,168.0,2.0,171.0,,,,,,,,,190.0,,,,,,,488.0,1270.0,76.0,521.0,1902.0,86.0,654.8,6.6,162.1,1834.0,2484.0,25.0
2011,동대문구,379792.0,200.0,1.0,11.0,0.0,24.0,0.0,65.0,2.0,190.0,3.0,45.0,69.0,0.0,168.0,0.0,174.0,,,,,,,,,190.0,,,,,,,474.0,1242.0,61.0,508.0,1870.0,66.0,642.2,3.4,155.8,1777.0,2431.0,13.0
2012,동대문구,377501.0,249.0,6.0,15.0,0.0,20.0,0.0,32.0,1.0,210.0,3.0,56.0,90.0,0.0,189.0,4.0,193.0,,,,,,,,,156.0,,,,,,,500.0,1316.0,65.0,530.0,1932.0,69.0,668.4,5.3,161.8,1881.0,2511.0,20.0
2013,동대문구,376489.0,319.0,4.0,12.0,0.0,16.0,0.0,23.0,1.0,173.0,5.0,44.0,61.0,2.0,232.0,2.0,238.0,7.0,1601.0,159.0,166.0,9.0,2058.0,199.0,223.0,183.0,,,,,,,533.0,1366.0,71.0,570.0,1890.0,80.0,670.5,4.3,167.5,1970.0,2524.0,16.0
2014,동대문구,375481.0,320.0,5.0,11.0,1.0,12.0,0.0,13.0,1.0,154.0,9.0,45.0,71.0,1.0,252.0,1.0,270.0,14.0,1588.0,103.0,95.0,19.0,2061.0,151.0,131.0,202.0,,,,,,,492.0,1284.0,72.0,521.0,1827.0,86.0,639.6,7.2,154.3,1848.0,2407.0,27.0
2015,동대문구,375057.0,310.0,3.0,22.0,0.0,19.0,0.0,26.0,0.0,217.0,5.0,45.0,68.0,0.0,277.0,1.0,286.0,2.0,1803.0,165.0,106.0,4.0,2368.0,219.0,146.0,199.0,,,,,,,577.0,1442.0,66.0,613.0,2060.0,74.0,730.6,4.3,172.5,2085.0,2731.0,16.0
2016,동대문구,371859.0,196.0,0.0,41.0,1.0,13.0,0.0,32.0,0.0,315.0,7.0,34.0,48.0,0.0,252.0,3.0,263.0,2.0,1776.0,137.0,131.0,8.0,2252.0,183.0,193.0,211.0,,,,,,,584.0,1407.0,60.0,611.0,1968.0,64.0,709.9,3.8,168.9,2051.0,2629.0,14.0
2017,동대문구,367831.0,198.0,7.0,35.0,0.0,23.0,1.0,34.0,1.0,226.0,5.0,40.0,53.0,0.0,208.0,2.0,214.0,6.0,1479.0,81.0,147.0,7.0,1864.0,108.0,180.0,175.0,76.0,1030.0,47.0,89.0,1373.0,53.0,518.0,1128.0,72.0,535.0,1547.0,82.0,584.4,6.8,141.2,1718.0,2139.0,25.0
2018,동대문구,364982.0,256.0,5.0,24.0,0.0,20.0,0.0,44.0,0.0,156.0,4.0,33.0,45.0,0.0,204.0,3.0,215.0,5.0,1494.0,86.0,93.0,6.0,1909.0,109.0,124.0,179.0,81.0,1012.0,33.0,119.0,1340.0,41.0,492.0,1153.0,54.0,513.0,1603.0,58.0,592.9,3.8,139.2,1699.0,2160.0,14.0
2019,동대문구,363291.0,213.0,2.0,14.0,0.0,23.0,0.0,45.0,1.0,143.0,3.0,29.0,39.0,0.0,185.0,2.0,198.0,1.0,1377.0,83.0,97.0,1.0,1769.0,104.0,120.0,168.0,70.0,893.0,44.0,88.0,1173.0,55.0,424.0,1091.0,50.0,452.0,1500.0,51.0,547.6,4.1,128.7,1565.0,1988.0,15.0
2020,동대문구,359716.0,143.0,2.0,10.0,0.0,23.0,0.0,33.0,0.0,153.0,1.0,29.0,39.0,0.0,209.0,0.0,227.0,2.0,1230.0,88.0,97.0,2.0,1583.0,113.0,117.0,122.0,48.0,771.0,39.0,53.0,1026.0,46.0,331.0,1067.0,50.0,350.0,1454.0,51.0,516.8,2.8,118.7,1448.0,1845.0,10.0
2021,동대문구,352115.0,153.0,2.0,7.0,0.0,26.0,0.0,30.0,2.0,86.0,7.0,24.0,31.0,0.0,189.0,4.0,193.0,8.0,1162.0,75.0,105.0,10.0,1389.0,96.0,123.0,135.0,55.0,765.0,41.0,63.0,960.0,46.0,311.0,1048.0,31.0,316.0,1326.0,31.0,470.4,4.8,113.4,1390.0,1656.0,17.0
